0.0000000	2.5098548
0.1111111	0.5473025
0.2222222	17.7014187
0.3333333	5.1777342
0.4444444	1.6362035
0.5555556	0.1865782
0.6666667	0.1959023
0.7777778	0.6122784
0.8888889	0.7413768
1.0000000	0.4871867
1.1111111	0.1520149
1.2222222	0.0204475
1.3333333	0.1102400
1.4444444	0.2361166
1.5555556	0.2387856
1.6666667	0.1270940
1.7777778	0.0247663
1.8888889	0.0199984
2.0000000	0.0850246
2.1111111	0.1285813
2.2222222	0.1012969
2.3333333	0.0378436
2.4444444	0.0052837
2.5555556	0.0274248
2.6666667	0.0671387
2.7777778	0.0752182
2.8888889	0.0441549
3.0000000	0.0097416
3.1111111	0.0065946
3.2222222	0.0312644
3.3333333	0.0510521
3.4444444	0.0429885
3.5555556	0.0173537
3.6666667	0.0024400
3.7777778	0.0116968
3.8888889	0.0308120
4.0000000	0.0364148
4.1111111	0.0225667
4.2222222	0.0053859
4.3333333	0.0030859
4.4444444	0.0157651
4.5555556	0.0270788
4.6666667	0.0238114
4.7777778	0.0101461
4.8888889	0.0014421
5.0000000	0.0062465
5.1111111	0.0174288
5.2222222	0.0214268
5.3333333	0.0138292
5.4444444	0.0035169
5.5555556	0.0017143
5.6666667	0.0093113
5.7777778	0.0166725
5.8888889	0.0151779
6.0000000	0.0067626
